rat,rsrp,rsrq,snr,pci,deltaTcpKernelLossRate,deltaDnsRttAvg,deltaTcpKernelRttAvg,dlRateBps,ulRateBps,retans,totalretrans,unacked,retransmit,lostCount,avgRttVar,minRtt,avgRtt,isVedioDataStall,isVideoFront
20.0,-80.0,-11.0,29.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,6.0,2.0,5.0,280895.0,18250.0,361255.0,1.0,0.0
20.0,-80.0,-11.0,29.0,0.0,0.0,-1.0,-1.0,15.0,1.0,1.0,0.0,6.0,2.0,5.0,267113.0,18250.0,347156.0,1.0,0.0
20.0,-80.0,-11.0,29.0,0.0,-20.0,-1.0,49.0,4.0,0.0,0.0,0.0,20.0,0.0,0.0,230273.0,18250.0,297930.0,1.0,0.0
20.0,-80.0,-11.0,29.0,0.0,0.0,-1.0,-1.0,35.0,14.0,0.0,0.0,0.0,0.0,0.0,229463.0,18250.0,297502.0,1.0,0.0
20.0,-80.0,-11.0,29.0,0.0,0.0,-1.0,-1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,215049.0,18250.0,251558.0,1.0,0.0
20.0,-80.0,-11.0,29.0,0.0,0.0,-1.0,-1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,210946.0,18250.0,244642.0,1.0,0.0
20.0,-96.0,-12.0,20.0,0.0,0.0,42.0,0.0,990.0,17.0,0.0,0.0,0.0,0.0,0.0,14426.0,15988.0,40575.0,0.0,1.0
20.0,-96.0,-12.0,20.0,0.0,0.0,-1.0,0.0,85.0,5.0,0.0,0.0,0.0,0.0,0.0,13921.0,15988.0,40930.0,1.0,0.0
20.0,-96.0,-12.0,20.0,0.0,0.0,-1.0,-1.0,12.0,9.0,0.0,0.0,1.0,0.0,0.0,13519.0,15988.0,40783.0,1.0,0.0
20.0,-96.0,-12.0,20.0,0.0,0.0,0.0,0.0,139.0,3.0,0.0,0.0,0.0,0.0,0.0,12887.0,15988.0,40407.0,1.0,0.0
20.0,-71.0,-11.0,26.0,0.0,0.0,-1.0,-1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,13044.0,15988.0,40489.0,1.0,0.0
20.0,-71.0,-11.0,26.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13029.0,15988.0,40170.0,1.0,0.0
20.0,-71.0,-11.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12847.0,16336.0,40023.0,1.0,0.0
20.0,-71.0,-11.0,26.0,1.0,0.0,-1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,13462.0,16336.0,40621.0,1.0,0.0
20.0,-71.0,-11.0,26.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13622.0,16336.0,40308.0,1.0,0.0
20.0,-71.0,-11.0,26.0,1.0,0.0,-1.0,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,13639.0,16336.0,40560.0,1.0,0.0
20.0,-71.0,-11.0,26.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13978.0,16336.0,40814.0,1.0,0.0
20.0,-71.0,-11.0,26.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13900.0,16336.0,40435.0,1.0,0.0
20.0,-111.0,-11.0,8.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14391.0,16336.0,41022.0,1.0,0.0
13.0,-127.0,-15.0,-1.0,1.0,0.0,-1.0,0.0,18.0,5.0,0.0,6.0,0.0,0.0,0.0,20574.0,16336.0,46228.0,1.0,0.0
13.0,-127.0,-15.0,-1.0,1.0,-31.0,0.0,-1.0,13.0,8.0,5.0,15.0,18.0,10.0,17.0,20574.0,16336.0,46228.0,1.0,1.0
20.0,-123.0,-13.0,5.0,1.0,-1.0,31.0,1.0,926.0,34.0,0.0,13.0,0.0,0.0,0.0,81515.0,16347.0,107132.0,1.0,1.0
20.0,-91.0,-11.0,14.0,1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81288.0,16347.0,106919.0,1.0,1.0
20.0,-83.0,-11.0,14.0,0.0,0.0,-1.0,-1.0,179.0,9.0,0.0,1.0,0.0,0.0,0.0,75085.0,16347.0,85991.0,1.0,1.0
20.0,-83.0,-11.0,14.0,0.0,0.0,-1.0,-1.0,267.0,11.0,0.0,2.0,1.0,0.0,0.0,70437.0,16347.0,83038.0,1.0,1.0
20.0,-83.0,-11.0,14.0,0.0,0.0,-1.0,6.0,182.0,9.0,0.0,4.0,0.0,0.0,0.0,62828.0,16347.0,76431.0,1.0,1.0
20.0,-83.0,-11.0,14.0,0.0,0.0,-1.0,0.0,266.0,9.0,0.0,3.0,0.0,0.0,0.0,60875.0,16347.0,75432.0,1.0,1.0
20.0,-83.0,-11.0,14.0,0.0,0.0,-1.0,-1.0,181.0,8.0,0.0,0.0,0.0,0.0,0.0,59544.0,16347.0,73712.0,1.0,1.0
